Country Name,2017 Happiness Score
Norway,7.537000179290769
Denmark,7.52199983596802
Iceland,7.50400018692017
Switzerland,7.49399995803833
Finland,7.468999862670901
Netherlands,7.3769998550415
Canada,7.31599998474121
New Zealand,7.31400012969971
Sweden,7.28399991989136
Australia,7.28399991989136
Israel,7.212999820709231
Costa Rica,7.0789999961853
Austria,7.00600004196167
United States,6.993000030517581
Ireland,6.9770002365112305
Germany,6.9510002136230495
Belgium,6.89099979400635
Luxembourg,6.86299991607666
United Kingdom,6.71400022506714
Chile,6.65199995040894
United Arab Emirates,6.6479997634887695
Brazil,6.6350002288818395
Czech Republic,6.60900020599365
Argentina,6.59899997711182
Mexico,6.57800006866455
Singapore,6.57200002670288
Malta,6.52699995040894
Uruguay,6.4539999961853
Guatemala,6.4539999961853
Panama,6.4520001411438
France,6.44199991226196
Thailand,6.4239997863769505
Taiwan Province of China,6.42199993133545
Spain,6.40299987792969
Qatar,6.375
Colombia,6.35699987411499
Saudi Arabia,6.343999862670901
Trinidad and Tobago,6.1680002212524405
Kuwait,6.10500001907349
Slovakia,6.09800004959106
Bahrain,6.08699989318848
Malaysia,6.08400011062622
Nicaragua,6.07100009918213
Ecuador,6.00799989700317
El Salvador,6.002999782562259
Poland,5.97300004959106
Uzbekistan,5.97100019454956
Italy,5.96400022506714
Russia,5.962999820709231
Belize,5.955999851226809
Japan,5.92000007629395
Lithuania,5.90199995040894
Algeria,5.872000217437741
Latvia,5.849999904632571
South Korea,5.837999820709231
Moldova,5.837999820709231
Romania,5.824999809265139
Bolivia,5.82299995422363
Turkmenistan,5.82200002670288
Kazakhstan,5.8189997673034695
North Cyprus,5.80999994277954
Slovenia,5.75799989700317
Peru,5.71500015258789
Mauritius,5.62900018692017
Cyprus,5.62099981307983
Estonia,5.61100006103516
Belarus,5.5689997673034695
Libya,5.525000095367429
Turkey,5.5
Paraguay,5.493000030517581
"Hong Kong S.A.R., China",5.47200012207031
Philippines,5.42999982833862
Serbia,5.39499998092651
Jordan,5.33599996566772
Hungary,5.32399988174438
Jamaica,5.31099987030029
Croatia,5.2930002212524405
Kosovo,5.27899980545044
China,5.2729997634887695
Pakistan,5.26900005340576
Indonesia,5.26200008392334
Venezuela,5.25
Montenegro,5.23699998855591
Morocco,5.2350001335144
Azerbaijan,5.234000205993651
Dominican Republic,5.230000019073491
Greece,5.2270002365112305
Lebanon,5.22499990463257
Portugal,5.19500017166138
Bosnia and Herzegovina,5.18200016021729
Honduras,5.1810002326965305
Macedonia,5.175000190734861
Somalia,5.151000022888179
Vietnam,5.07399988174438
Nigeria,5.07399988174438
Tajikistan,5.04099988937378
Bhutan,5.01100015640259
Kyrgyzstan,5.0040001869201705
Nepal,4.961999893188481
Mongolia,4.95499992370605
South Africa,4.8289999961853
Tunisia,4.80499982833862
Palestinian Territories,4.77500009536743
Egypt,4.7350001335144
Bulgaria,4.71400022506714
Sierra Leone,4.70900011062622
Cameroon,4.69500017166138
Iran,4.69199991226196
Albania,4.64400005340576
Bangladesh,4.60799980163574
Namibia,4.57399988174438
Kenya,4.55299997329712
Mozambique,4.550000190734861
Myanmar,4.54500007629395
Senegal,4.53499984741211
Zambia,4.513999938964839
Iraq,4.49700021743774
Gabon,4.46500015258789
Ethiopia,4.46000003814697
Sri Lanka,4.44000005722046
Armenia,4.37599992752075
India,4.31500005722046
Mauritania,4.29199981689453
Congo (Brazzaville),4.29099988937378
Georgia,4.28599977493286
Congo (Kinshasa),4.2800002098083505
Mali,4.19000005722046
Ivory Coast,4.17999982833862
Cambodia,4.1680002212524405
Sudan,4.138999938964839
Ghana,4.11999988555908
Ukraine,4.09600019454956
Uganda,4.08099985122681
Burkina Faso,4.03200006484985
Niger,4.02799987792969
Malawi,3.97000002861023
Chad,3.9360001087188703
Zimbabwe,3.875
Lesotho,3.80800008773804
Angola,3.79500007629395
Afghanistan,3.7939999103546103
Botswana,3.7660000324249303
Benin,3.65700006484985
Madagascar,3.64400005340576
Haiti,3.6029999256133998
Yemen,3.59299993515015
South Sudan,3.5910000801086404
Liberia,3.5329999923706095
Guinea,3.50699996948242
Togo,3.4949998855590803
Rwanda,3.47099995613098
Syria,3.46199989318848
Tanzania,3.34899997711182
Burundi,2.90499997138977
Central African Republic,2.69300007820129
